0000000150,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:45:20 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",1.00,30.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.30,"V"
"extractor",370,"V"
"focus",-144,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    1.00,    650210
0000000001,00:00:00,0000000000,    2.00,   1047300
0000000001,00:00:00,0000000000,    3.00,       490
0000000001,00:00:00,0000000000,    4.00,        40
0000000001,00:00:00,0000000000,    5.00,        60
0000000001,00:00:00,0000000000,    6.00,       110
0000000001,00:00:00,0000000000,    7.00,       100
0000000001,00:00:00,0000000000,    8.00,        60
0000000001,00:00:00,0000000000,    9.00,       110
0000000001,00:00:00,0000000000,   10.00,        80
0000000001,00:00:00,0000000000,   11.00,       110
0000000001,00:00:00,0000000000,   12.00,       430
0000000001,00:00:00,0000000000,   13.00,       220
0000000001,00:00:00,0000000000,   14.00,     32960
0000000001,00:00:00,0000000000,   15.00,      3510
0000000001,00:00:00,0000000000,   16.00,     33170
0000000001,00:00:00,0000000000,   17.00,     60260
0000000001,00:00:00,0000000000,   18.00,     70870
0000000001,00:00:00,0000000000,   19.00,       310
0000000001,00:00:00,0000000000,   20.00,       300
0000000001,00:00:00,0000000000,   21.00,        80
0000000001,00:00:00,0000000000,   22.00,        70
0000000001,00:00:00,0000000000,   23.00,        30
0000000001,00:00:00,0000000000,   24.00,       100
0000000001,00:00:00,0000000000,   25.00,       280
0000000001,00:00:00,0000000000,   26.00,       900
0000000001,00:00:00,0000000000,   27.00,      4310
0000000001,00:00:00,0000000000,   28.00,    573600
0000000001,00:00:00,0000000000,   29.00,     11140
0000000001,00:00:00,0000000000,   30.00,      2170
0000000002,00:00:03,0000003433,    1.00,    664680
0000000002,00:00:03,0000003433,    2.00,   1095580
0000000002,00:00:03,0000003433,    3.00,       680
0000000002,00:00:03,0000003433,    4.00,       120
0000000002,00:00:03,0000003433,    5.00,        40
0000000002,00:00:03,0000003433,    6.00,        90
0000000002,00:00:03,0000003433,    7.00,       200
0000000002,00:00:03,0000003433,    8.00,        80
0000000002,00:00:03,0000003433,    9.00,        60
0000000002,00:00:03,0000003433,   10.00,        40
0000000002,00:00:03,0000003433,   11.00,         0
0000000002,00:00:03,0000003433,   12.00,       420
0000000002,00:00:03,0000003433,   13.00,       260
0000000002,00:00:03,0000003433,   14.00,     35620
0000000002,00:00:03,0000003433,   15.00,      3590
0000000002,00:00:03,0000003433,   16.00,     35540
0000000002,00:00:03,0000003433,   17.00,     64270
0000000002,00:00:03,0000003433,   18.00,     76380
0000000002,00:00:03,0000003433,   19.00,       280
0000000002,00:00:03,0000003433,   20.00,       530
0000000002,00:00:03,0000003433,   21.00,        50
0000000002,00:00:03,0000003433,   22.00,        80
0000000002,00:00:03,0000003433,   23.00,        80
0000000002,00:00:03,0000003433,   24.00,       140
0000000002,00:00:03,0000003433,   25.00,       340
0000000002,00:00:03,0000003433,   26.00,      1050
0000000002,00:00:03,0000003433,   27.00,      4380
0000000002,00:00:03,0000003433,   28.00,    606490
0000000002,00:00:03,0000003433,   29.00,     11550
0000000002,00:00:03,0000003433,   30.00,      1960
0000000003,00:00:06,0000006866,    1.00,    679150
0000000003,00:00:06,0000006866,    2.00,   1130140
0000000003,00:00:06,0000006866,    3.00,       660
0000000003,00:00:06,0000006866,    4.00,        60
0000000003,00:00:06,0000006866,    5.00,        60
0000000003,00:00:06,0000006866,    6.00,        60
0000000003,00:00:06,0000006866,    7.00,       150
0000000003,00:00:06,0000006866,    8.00,       170
0000000003,00:00:06,0000006866,    9.00,        50
0000000003,00:00:06,0000006866,   10.00,        80
0000000003,00:00:06,0000006866,   11.00,        60
0000000003,00:00:06,0000006866,   12.00,       470
0000000003,00:00:06,0000006866,   13.00,       270
0000000003,00:00:06,0000006866,   14.00,     35280
0000000003,00:00:06,0000006866,   15.00,      3720
0000000003,00:00:06,0000006866,   16.00,     35370
0000000003,00:00:06,0000006866,   17.00,     65430
0000000003,00:00:06,0000006866,   18.00,     79400
0000000003,00:00:06,0000006866,   19.00,       380
0000000003,00:00:06,0000006866,   20.00,       380
0000000003,00:00:06,0000006866,   21.00,        30
0000000003,00:00:06,0000006866,   22.00,       110
0000000003,00:00:06,0000006866,   23.00,        40
